plotid,date,species,tagnumber,status,cankerid,estdbh,dbh2012,symplfct,canker,lidelfct,x,y
ANN05,22-Apr-11,QUKE,1259,Alive,1259-1,55.3,NA,NA,1,NA,533109,4254426
FERRA01,6-May-10,QUAG,1275,Alive,1275-1,27.5,NA,NA,1,NA,546236,4244249
FERRA01,21-May-12,QUAG,1275,Alive,1275-1,27.5,28.4,NA,1,NA,546236,4244249
NELSO02,10-May-10,QUAG,1279,Alive,1279-1,8.3,NA,NA,1,NA,545219,4243415
NELSO02,23-May-11,QUAG,1287,Alive,1287-1,50,NA,NA,1,NA,545219,4243415
NELSO02,21-May-12,QUAG,1287,Alive,1287-1,50,53,NA,1,NA,545219,4243415
NELSO02,10-May-10,QUAG,1287,Alive,1287-1,50,NA,NA,1,NA,545219,4243415
NELSO02,23-May-11,QUAG,1287,Alive,1287-2,50,NA,NA,1,NA,545219,4243415
NELSO02,21-May-12,QUAG,1287,Alive,1287-2,50,53,NA,1,NA,545219,4243415
BOUV01,15-May-10,QUAG,1320,Alive,1302-1,49.7,NA,NA,1,NA,543187,4246863
JROTH05,19-Apr-11,QUKE,1303,Alive,1303-1,56.7,NA,NA,1,NA,535897,4243994
JROTH05,2-May-12,QUKE,1303,Alive,1303-1,56.7,59.3,NA,1,NA,535897,4243994
JROTH05,20-Apr-10,QUKE,1303,Alive,1303-1,56.7,NA,NA,1,NA,535897,4243994
JROTH05,19-Apr-11,QUKE,1303,Alive,1303-2,56.7,NA,NA,1,NA,535897,4243994
JROTH05,2-May-12,QUKE,1303,Alive,1303-2,56.7,59.3,NA,1,NA,535897,4243994
JROTH05,19-Apr-11,QUAG,1304,Alive,1304-1,51.6,NA,NA,1,NA,535897,4243994
JROTH05,2-May-12,QUAG,1304,Alive,1304-1,51.6,52,NA,0,NA,535897,4243994
JROTH05,20-Apr-10,QUAG,1304,Alive,1304-1,51.6,NA,NA,1,NA,535897,4243994
JROTH05,19-Apr-11,QUAG,1304,Alive,1304-2,51.6,NA,NA,1,NA,535897,4243994
JROTH05,2-May-12,QUAG,1304,Alive,1304-2,51.6,52,NA,0,NA,535897,4243994
JROTH05,20-Apr-10,QUAG,1304,Alive,1304-2,51.6,NA,NA,1,NA,535897,4243994
JROTH05,2-May-12,QUAG,1304,Alive,1304-3,51.6,52,NA,0,NA,535897,4243994
JROTH05,19-Apr-11,QUAG,1304,Alive,1304-3,51.6,NA,NA,1,NA,535897,4243994
JROTH05,20-Apr-10,QUAG,1304,Alive,1304-3,51.6,NA,NA,1,NA,535897,4243994
JROTH05,20-Apr-10,QUAG,1304,Alive,1304-4,51.6,NA,NA,1,NA,535897,4243994
JROTH05,19-Apr-11,QUAG,1304,Alive,1304-4,51.6,NA,NA,1,NA,535897,4243994
JROTH05,19-Apr-11,QUAG,1304,Alive,1304-5,51.6,NA,NA,1,NA,535897,4243994
JROTH05,2-May-12,QUAG,1304,Alive,1304-5,51.6,52,NA,0,NA,535897,4243994
NELSO02,23-May-11,QUAG,1306,Alive,1306-1,8.8,NA,NA,1,NA,545219,4243415
COCHR01,29-May-12,QUAG,1317,Alive,1317-1,40,44,NA,1,NA,543141,4247150
COCHR01,20-May-11,QUAG,1317,Alive,1317-1,40,NA,NA,1,NA,543141,4247150
COCHR01,7-May-10,QUAG,1317,Alive,1317-1,40,NA,NA,1,NA,543141,4247150
BOUV01,17-May-12,QUAG,1321,Alive,1321-1,98.7,113.7,NA,1,NA,543187,4246863
BOUV02,20-May-11,QUAG,1323,Alive,1323-1,40.6,NA,NA,1,NA,543486,4246621
BOUV02,15-May-10,QUAG,1323,Alive,1323-1,40.6,NA,NA,1,NA,543486,4246621
BOUV02,17-May-12,QUAG,1323,Alive,1323-1,40.6,41.6,NA,1,NA,543486,4246621
BOUV02,20-May-11,QUAG,1323,Alive,1323-2,40.6,NA,NA,1,NA,543486,4246621
BOUV02,17-May-12,QUAG,1325,Alive,1325-1,63.4,69,NA,1,NA,543486,4246621
BOUV02,20-May-11,QUAG,1325,Alive,1325-1,63.4,NA,NA,1,NA,543486,4246621
BOUV02,15-May-10,QUAG,1325,Alive,1325-1,63.4,NA,NA,1,NA,543486,4246621
BOUV02,15-May-10,QUAG,1325,Alive,1325-2,63.4,NA,NA,1,NA,543486,4246621
BOUV02,17-May-12,QUAG,1325,Alive,1325-2,63.4,69,NA,1,NA,543486,4246621
BOUV02,20-May-11,QUAG,1325,Alive,1325-2,63.4,NA,NA,1,NA,543486,4246621
BOUV03,4-May-10,QUAG,1328,Alive,1328-1,18.7,NA,NA,1,NA,543937,4246578
COOK01,28-Apr-10,QUAG,1331,Alive,1331-1,15.6,NA,NA,1,NA,533160,4244516
COOK01,1-May-11,QUAG,1331,Alive,1331-1,15.6,NA,NA,1,NA,533160,4244516
COOK01,2-May-12,QUAG,1331,Alive,1331-1,15.6,17.7,NA,1,NA,533160,4244516
COOK01,28-Apr-10,QUAG,1337,Alive,1337-1,40.6,NA,NA,1,NA,533160,4244516
COOK01,1-May-11,QUAG,1337,Alive,1337-1,40.6,NA,NA,1,NA,533160,4244516
COOK01,2-May-12,QUAG,1337,Alive,1337-2,40.6,46.9,NA,1,NA,533160,4244516
COOK01,1-May-11,QUAG,1337,Alive,1337-2,40.6,NA,NA,1,NA,533160,4244516
COOK01,1-May-11,QUAG,1337,Alive,1337-3,40.6,NA,NA,1,NA,533160,4244516
COOK01,1-May-11,QUAG,1337,Alive,1337-4,40.6,NA,NA,1,NA,533160,4244516
COOK01,2-May-12,QUAG,1337,Alive,1337-5,40.6,46.9,NA,1,NA,533160,4244516
COOK01,2-May-12,QUAG,1337,Alive,1337-6,40.6,46.9,NA,1,NA,533160,4244516
COOK01,1-May-11,QUAG,1342,Alive,1342-1,38.5,NA,NA,1,NA,533160,4244516
COOK01,1-May-11,QUAG,1342,Alive,1342-2,38.5,NA,NA,1,NA,533160,4244516
COOK01,1-May-11,QUAG,1342,Alive,1342-3,38.5,NA,NA,1,NA,533160,4244516
COOK01,1-May-11,QUAG,1342,Alive,1342-4,38.5,NA,NA,1,NA,533160,4244516
COOK01,1-May-11,QUAG,1342,Alive,1342-5,38.5,NA,NA,1,NA,533160,4244516
COOK01,2-May-12,QUAG,1348,Alive,1348-1,36.5,40.1,NA,1,NA,533160,4244516
COOK01,28-Apr-10,QUAG,1348,Alive,1348-1,36.5,NA,NA,1,NA,533160,4244516
COOK01,1-May-11,QUAG,1348,Alive,1348-1,36.5,NA,NA,1,NA,533160,4244516
LINS01,9-May-12,QUAG,1365,Alive,1365-1,25,27.8,NA,1,NA,535059,4243938
LINS01,20-Apr-11,QUAG,1366,Alive,1366-1,20.1,NA,NA,1,NA,535059,4243938
LINS01,26-Apr-10,QUAG,1366,Alive,1366-1,20.1,NA,NA,1,NA,535059,4243938
LINS01,9-May-12,QUAG,1366,Alive,1366-1,20.1,20.1,NA,1,NA,535059,4243938
LINS01,9-May-12,QUAG,1376,Alive,1376-1,22.9,23.8,NA,1,NA,535059,4243938
LINS01,26-Apr-10,QUAG,1376,Alive,1376-1,22.9,NA,NA,1,NA,535059,4243938
LINS01,20-Apr-11,QUAG,1376,Alive,1376-1,22.9,NA,NA,1,NA,535059,4243938
LINS01,26-Apr-10,QUAG,1377,Alive,1377-1,16.8,NA,NA,1,NA,535059,4243938
LINS01,20-Apr-11,QUAG,1377,Alive,1377-1,16.8,NA,NA,1,NA,535059,4243938
LINS01,9-May-12,QUAG,1378,Alive,1378-1,13.7,16.1,NA,1,NA,535059,4243938
LINS01,9-May-12,QUAG,1378,Alive,1378-2,13.7,16.1,NA,1,NA,535059,4243938
LINS01,9-May-12,QUAG,1381,Alive,1381-1,14.8,15.4,NA,1,NA,535059,4243938
LINS01,20-Apr-11,QUAG,1381,Alive,1381-1,14.8,NA,NA,1,NA,535059,4243938
